,links,date,source,description,category
0,https://www.proceso.com.mx/reportajes/2020/11/1/la-cdmx-una-ciudad-desbordada-251925.html,2020-11-01,Proceso,reportajes,"La CDMX, una ciudad desbordada"
1,https://www.proceso.com.mx/nacional/2020/11/1/pobreza-un-sistema-deficiente-covid-19-han-dejado-mas-de-un-millon-de-muertos-en-mexico-251921.html,2020-11-01,Proceso,nacional,"Pobreza, un sistema deficiente y covid-19 han dejado más de un millón de muertos en México"
2,https://www.proceso.com.mx/nacional/estados/2020/11/1/hermano-de-amlo-va-por-cargo-en-elecciones-de-2021-en-tabasco-251927.html,2020-11-01,Proceso,nacional,Hermano de AMLO va por cargo en elecciones de 2021 en Tabasco
3,https://www.proceso.com.mx/nacional/cdmx/2020/10/31/fiscalia-de-la-cdmx-solicita-la-extradicion-de-raymundo-collins-de-eu-251904.html,2020-11-01,Proceso,nacional,Fiscalía de la CDMX solicita la extradición de Raymundo Collins de EU
4,https://www.proceso.com.mx/nacional/estados/2020/10/31/habitantes-de-la-sierra-de-manantlan-denuncian-asedio-de-minera-pena-colorada-251913.html,2020-11-01,Proceso,nacional,Habitantes de la Sierra de Manantlán denuncian asedio de minera Peña Colorada
5,https://www.proceso.com.mx/nacional/2020/10/31/salud-reporta-otros-464-decesos-mil-151-contagios-por-coronavirus-en-mexico-251912.html,2020-11-01,Proceso,nacional,Salud reporta otros 464 decesos y 6 mil 151 contagios por coronavirus en México
6,https://www.proceso.com.mx/nacional/2020/10/31/audiencia-nacional-de-espana-cierra-el-caso-contra-humberto-moreira-251911.html,2020-11-01,Proceso,nacional,Audiencia Nacional de España cierra el caso contra Humberto Moreira
7,https://www.proceso.com.mx/brand-studio/2020/10/29/la-bolsa-del-powerball-de-ee-uu-esta-en-27-millones-de-pesos-quieres-probar-suerte-desde-mexico-visita-thelotter-descubre-como-251776.html,2020-11-01,Proceso,brand-studio,"La bolsa del Powerball de EE. UU. está en 2,7 millones de pesos, ¿quieres probar suerte desde México? Visita theLotter y descubre cómo"
8,https://www.proceso.com.mx/nacional/estados/2020/10/31/chihuahua-reporta-499-contagios-de-coronavirus-en-24-horas-251910.html,2020-11-01,Proceso,nacional,Chihuahua reporta 499 contagios de coronavirus en 24 horas
9,https://www.proceso.com.mx/nacional/cdmx/2020/10/31/pareja-de-la-enfermera-marilu-camacho-es-acusado-de-asesinarla-enterrarla-en-su-casa-251908.html,2020-11-01,Proceso,nacional,Pareja de la enfermera Marilú Camacho es acusado de asesinarla y enterrarla en su casa
10,https://www.proceso.com.mx/nacional/cdmx/2020/10/31/caen-dos-sospechosos-de-asalto-un-banco-con-cinturon-de-explosivos-251906.html,2020-11-01,Proceso,nacional,Caen dos sospechosos de asalto a un banco con cinturón de explosivos
11,https://www.proceso.com.mx/nacional/estados/2020/10/31/asesinato-de-cuatro-estudiantes-en-jojutla-punto-de-quedar-impune-251905.html,2020-11-01,Proceso,nacional,"Asesinato de cuatro estudiantes en Jojutla, a punto de quedar impune"
12,https://www.proceso.com.mx/reportajes/2020/10/31/rodriguez-borgio-una-historia-cargada-de-abusos-despojos-amenazas-251907.html,2020-11-01,Proceso,reportajes,"Rodríguez Borgio: una historia cargada de abusos, despojos y amenazas"
13,https://www.proceso.com.mx/reportajes/2020/10/31/diplomacia-cultural-dura-herencia-para-la-4t-251898.html,2020-11-01,Proceso,reportajes,"Diplomacia cultural, dura herencia para la 4T"
14,https://www.proceso.com.mx/reportajes/2020/10/31/en-medio-de-la-pandemia-el-protagonismo-mediatico-de-lopez-gatell-251895.html,2020-11-01,Proceso,reportajes,"En medio de la pandemia, el protagonismo mediático de López-Gatell"
15,https://www.proceso.com.mx/reportajes/2020/10/30/el-engranaje-fatal-251862.html,2020-11-01,Proceso,reportajes,El engranaje fatal
16,https://www.proceso.com.mx/internacional/2020/10/31/oregon-votara-la-despenalizacion-de-la-posesion-de-cocaina-heroina-lsd-251916.html,2020-11-01,Proceso,internacional,"Oregon votará la despenalización de la posesión de cocaína, heroína y LSD"
17,https://www.proceso.com.mx/internacional/2020/10/31/el-congreso-de-estados-unidos-la-otra-gran-eleccion-del-de-noviembre-251909.html,2020-11-01,Proceso,internacional,"El Congreso de Estados Unidos, la otra gran elección del 3 de noviembre"
18,https://www.proceso.com.mx/internacional/2020/11/1/nuevo-confinamiento-en-reino-unido-podria-durar-mas-de-un-mes-251926.html,2020-11-01,Proceso,internacional,Nuevo confinamiento en Reino Unido podría durar más de un mes
19,https://www.proceso.com.mx/internacional/2020/10/31/por-rebrote-reino-unido-regresara-al-confinamiento-el-jueves-251899.html,2020-11-01,Proceso,internacional,"Por rebrote, Reino Unido regresará al confinamiento el jueves"
20,https://www.proceso.com.mx/nacional/2020/10/30/pese-covid-19-turistas-abarrotan-caseta-rumbo-acapulco-251885.html,2020-11-01,Proceso,nacional,"Pese a covid-19, turistas abarrotan caseta rumbo a Acapulco"
21,https://www.proceso.com.mx/opinion/2020/10/31/este-12-de-diciembre-sin-guadalupe-tonantzin-251902.html,2020-11-01,Proceso,opinion,Este 12 de diciembre sin Guadalupe Tonantzin
22,https://www.proceso.com.mx/opinion/2020/10/30/gobernadores-insumisos-251831.html,2020-11-01,Proceso,opinion,Gobernadores insumisos
23,https://www.proceso.com.mx/opinion/2020/10/30/lecciones-de-kempis-napoleon-para-hoy-251828.html,2020-11-01,Proceso,opinion,Lecciones de Kempis y Napoleón para hoy
24,https://www.proceso.com.mx/nacional/estados/2020/10/31/muere-por-covid-19-el-sacerdote-arturo-lona-reyes-el-obispo-de-los-pobres-251900.html,2020-11-01,Proceso,nacional,"Muere por covid-19 el sacerdote Arturo Lona Reyes, el Obispo de los pobres"
25,https://www.proceso.com.mx/nacional/estados/2020/10/30/auditoria-detecta-aviadores-irregularidades-en-compra-de-medicamentos-en-veracruz-251879.html,2020-11-01,Proceso,nacional,Auditoría detecta aviadores e irregularidades en compra de medicamentos en Veracruz
26,https://www.proceso.com.mx/nacional/estados/2020/10/30/david-monreal-renuncia-ganaderia-va-por-la-gubernatura-de-zacatecas-251874.html,2020-11-01,Proceso,nacional,David Monreal renuncia a Ganadería... va por la gubernatura de Zacatecas
27,https://www.proceso.com.mx/nacional/cdmx/2020/10/30/la-cdmx-tendra-otra-semana-de-semaforo-naranja-con-alerta-vigilancia-en-bares-251845.html,2020-11-01,Proceso,nacional,"La CDMX tendrá otra semana de semáforo naranja ""con alerta"" y vigilancia en bares"
28,https://www.proceso.com.mx/nacional/cdmx/2020/10/30/la-fgjcdmx-asegura-41-autos-clasicos-en-casa-de-raymundo-collins-en-tequesquitengo-251847.html,2020-11-01,Proceso,nacional,La FGJCDMX asegura 41 autos clásicos en casa de Raymundo Collins en Tequesquitengo
29,https://www.proceso.com.mx/nacional/cdmx/2020/10/29/la-basilica-de-guadalupe-cerraria-el-11-12-de-diciembre-por-covid-19-advierte-sheinbaum-251780.html,2020-11-01,Proceso,nacional,"La Basílica de Guadalupe cerraría el 11 y 12 de diciembre por covid-19, advierte Sheinbaum"
30,https://www.proceso.com.mx/nacional/cdmx/2020/10/29/la-fgjcdmx-reporta-la-captura-de-un-hombre-que-sustrajo-una-menor-de-13-anos-251777.html,2020-11-01,Proceso,nacional,La FGJCDMX reporta la captura de un hombre que sustrajo a una menor de 13 años
31,https://www.proceso.com.mx/economia/2020/10/30/la-economia-repunto-12-en-el-tercer-trimestre-reporta-el-inegi-251829.html,2020-11-01,Proceso,economia,La economía repuntó 12% en el tercer trimestre reporta el Inegi
32,https://www.proceso.com.mx/economia/2020/10/29/senado-regresa-san-lazaro-la-miscelanea-fiscal-2021-quita-facultades-al-sat-251820.html,2020-11-01,Proceso,economia,Senado regresa a San Lázaro la Miscelánea Fiscal 2021; quita facultades al SAT
33,https://www.proceso.com.mx/economia/2020/10/29/la-cfe-registra-perdidas-de-67-mil-mdp-en-primeros-nueve-meses-de-2020-251779.html,2020-11-01,Proceso,economia,La CFE registra pérdidas de 67 mil mdp en primeros nueve meses de 2020
34,https://www.proceso.com.mx/internacional/2020/10/31/suman-27-muertos-831-heridos-por-el-sismo-en-turquia-grecia-251897.html,2020-11-01,Proceso,internacional,Suman 27 muertos y 831 heridos por el sismo en Turquía y Grecia
35,https://www.proceso.com.mx/internacional/2020/10/31/ya-son-cuatro-los-detenidos-por-el-atentado-en-niza-251893.html,2020-11-01,Proceso,internacional,Ya son cuatro los detenidos por el atentado en Niza
36,https://www.proceso.com.mx/cultura/2020/11/1/juan-guillermo-lopez-carlos-monsivais-historia-de-una-amistad-entre-lineas-251923.html,2020-11-01,Proceso,cultura,Juan Guillermo López y Carlos Monsiváis: historia de una amistad entre líneas
37,https://www.proceso.com.mx/cultura/2020/11/1/juan-guillermo-lopez-su-pasion-por-los-libros-251922.html,2020-11-01,Proceso,cultura,Juan Guillermo López y su pasión por los libros
38,https://www.proceso.com.mx/cultura/2020/10/31/pinturas-de-demian-florescasa-lamm-251920.html,2020-11-01,Proceso,cultura,Pinturas de Demián Flores/Casa Lamm
39,https://www.proceso.com.mx/cultura/2020/10/31/pesar-de-pandemia-anoran-festival-artistico-en-poza-rica-251919.html,2020-11-01,Proceso,cultura,"A pesar de pandemia, añoran festival artístico en Poza Rica"
40,https://www.proceso.com.mx/cultura/2020/10/31/un-ano-del-deceso-de-la-muralista-rina-lazo-1923-2019-251918.html,2020-11-01,Proceso,cultura,A un año del deceso de la muralista Rina Lazo (1923-2019)
41,https://www.proceso.com.mx/cultura/2020/10/31/las-peliculas-de-terror-favoritas-de-tarantino-nolan-scorsese-otros-40-directores-251917.html,2020-11-01,Proceso,cultura,"Las películas de terror favoritas de Tarantino, Nolan, Scorsese y otros 40 directores"
42,https://www.proceso.com.mx/cultura/2020/10/31/alguien-en-algun-lugar-251915.html,2020-11-01,Proceso,cultura,"""Alguien, en algún lugar"""
43,https://www.proceso.com.mx/cultura/2020/10/31/paul-leduc-el-cineasta-de-las-mil-una-sorpresas-251914.html,2020-11-01,Proceso,cultura,"Paul Leduc, el cineasta de las mil y una sorpresas"
44,https://www.proceso.com.mx/cultura/2020/10/31/ver-oir-aplaudir-silbar-251901.html,2020-11-01,Proceso,cultura,"Ver, oír, aplaudir, silbar..."
45,https://www.proceso.com.mx/deportes/2020/10/31/chivas-suspende-por-indisciplina-tres-de-sus-jugadores-251903.html,2020-11-01,Proceso,deportes,Chivas suspende por indisciplina a tres de sus jugadores
46,https://www.proceso.com.mx/deportes/2020/10/31/dan-anos-meses-de-prision-joao-maleck-podria-quedar-en-libertad-251894.html,2020-11-01,Proceso,deportes,Dan 3 años y 8 meses de prisión a Joao Maleck; podría quedar en libertad
47,https://www.proceso.com.mx/deportes/2020/10/30/atletico-de-san-luis-cesa-guillermo-vazquez-tras-goleada-251878.html,2020-11-01,Proceso,deportes,Atlético de San Luis cesa a Guillermo Vázquez tras goleada
48,https://www.proceso.com.mx/ciencia-tecnologia/2020/10/30/el-sistema-solar-no-siempre-fue-tan-inusual-en-la-galaxia-251827.html,2020-11-01,Proceso,ciencia-tecnologia,El Sistema Solar no siempre fue tan inusual en la galaxia
49,https://www.proceso.com.mx/ciencia-tecnologia/2020/10/29/spotify-registra-perdidas-en-el-tercer-trimestre-por-101-millones-de-euros-251792.html,2020-11-01,Proceso,ciencia-tecnologia,Spotify registra pérdidas en el tercer trimestre por 101 millones de euros
0,https://www.eluniversal.com.mx/nacion/bajo-reserva-expres-2020-el-peor-ano-de-yeidckol-polevnsky,2020-11-01,Universal,bajo reserva expres 2020 el peor ano de yeidckol polevnsky,nacion
1,https://www.eluniversal.com.mx/mundo/estados-unidos-llega-elecciones-con-fractura-en-su-sistema-politico,2020-11-01,Universal,estados unidos llega elecciones con fractura en su sistema politico,mundo
2,https://www.eluniversal.com.mx/nacion/carta-de-un-cubrebocas-mexicano,2020-11-01,Universal,carta de un cubrebocas mexicano,nacion
3,https://www.eluniversal.com.mx/opinion/mochilazo-en-el-tiempo/las-colonias-de-la-capital-que-antes-fueron-panteones,2020-11-01,Universal,mochilazo en el tiempo,opinion
4,https://www.eluniversal.com.mx/espectaculos/sean-connery-sufrio-demencia-senil-en-sus-ultimos-meses-murio-en-calma,2020-11-01,Universal,sean connery sufrio demencia senil en sus ultimos meses murio en calma,espectaculos
5,https://www.eluniversal.com.mx/nacion/aumentara-pension-para-adultos-mayores-menores-con-discapacidad-y-jovenes-construyendo-el,2020-11-01,Universal,aumentara pension para adultos mayores menores con discapacidad y jovenes construyendo el,nacion
6,https://www.eluniversal.com.mx/nacion/covid-1-de-noviembre-mexico-llega-929-mil-casos-hay-91895-muertos,2020-11-01,Universal,covid 1 de noviembre mexico llega 929 mil casos hay 91895 muertos,nacion
7,https://www.eluniversal.com.mx/nacion/renuncia-hermano-de-amlo-cargo-en-tabasco-para-participar-en-elecciones-de-2021,2020-11-01,Universal,renuncia hermano de amlo cargo en tabasco para participar en elecciones de 2021,nacion
8,https://www.eluniversal.com.mx/nacion/ricardo-anaya-recibe-alta-medica-tras-dar-positivo-covid-pide-seguirnos-cuidando,2020-11-01,Universal,ricardo anaya recibe alta medica tras dar positivo covid pide seguirnos cuidando,nacion
9,https://www.eluniversal.com.mx/nacion/nos-han-quitado-morena-vamos-reconquistarlo-dice-porfirio-munoz-ledo,2020-11-01,Universal,nos han quitado morena vamos reconquistarlo dice porfirio munoz ledo,nacion
10,https://www.eluniversal.com.mx/nacion/arquidiocesis-llama-dejar-de-usar-fiestas-religiosas-como-pretexto-para-reunirse,2020-11-01,Universal,arquidiocesis llama dejar de usar fiestas religiosas como pretexto para reunirse,nacion
11,https://www.eluniversal.com.mx/nacion/sociedad/dia-de-muertos-habra-clases-el-2-de-noviembre,2020-11-01,Universal,sociedad,nacion
12,https://www.eluniversal.com.mx/cartera/dia-de-muertos-abriran-los-bancos-el-2-de-noviembre,2020-11-01,Universal,dia de muertos abriran los bancos el 2 de noviembre,cartera
13,https://www.eluniversal.com.mx/estados/madre-se-desnuda-e-ingresa-la-fiscalia-de-slp-exige-que-se-aclare-el-asesinato-de-su-hijo,2020-11-01,Universal,madre se desnuda e ingresa la fiscalia de slp exige que se aclare el asesinato de su hijo,estados
14,https://www.eluniversal.com.mx/universal-deportes/futbol/america-henry-martin-explota-contra-arbitros-por-invalidarle-gol-ante,2020-11-01,Universal,futbol,universal-deportes
15,https://www.eluniversal.com.mx/mundo/trump-niega-que-vaya-cantar-victoria-antes-de-tiempo,2020-11-01,Universal,trump niega que vaya cantar victoria antes de tiempo,mundo
16,https://www.eluniversal.com.mx/espectaculos/fallece-la-actriz-lucy-tovar-los-68-anos-de-edad,2020-11-01,Universal,fallece la actriz lucy tovar los 68 anos de edad,espectaculos
17,https://www.eluniversal.com.mx/espectaculos/daniel-bisogno-insulta-seguidor-de-amlo-se-disculpa-y-se-va-de-redes-sociales,2020-11-01,Universal,daniel bisogno insulta seguidor de amlo se disculpa y se va de redes sociales,espectaculos
18,https://www.eluniversal.com.mx/destinos/en-este-bonito-hotel-de-zacatecas-hay-un-fantasma-te-hospedarias,2020-11-01,Universal,en este bonito hotel de zacatecas hay un fantasma te hospedarias,destinos
19,https://www.eluniversal.com.mx/espectaculos/magda-rodriguez-una-productora-llamada-la-reina-midas-de-la-tv,2020-11-01,Universal,magda rodriguez una productora llamada la reina midas de la tv,espectaculos
20,https://www.eluniversal.com.mx/espectaculos/critican-hoy-por-frialdad-en-muerte-de-magda-rodriguez,2020-11-01,Universal,critican hoy por frialdad en muerte de magda rodriguez,espectaculos
21,https://www.eluniversal.com.mx/espectaculos/lucy-tovar-murio-mientras-dormia-por-un-infarto,2020-11-01,Universal,lucy tovar murio mientras dormia por un infarto,espectaculos
22,https://www.eluniversal.com.mx/espectaculos/asi-se-despidio-galilea-montijo-la-consentida-de-magda-rodriguez,2020-11-01,Universal,asi se despidio galilea montijo la consentida de magda rodriguez,espectaculos
23,https://www.eluniversal.com.mx/universal-deportes/futbol/america-vs-tigres-en-vivo-liga-mx-jornada-16,2020-11-01,Universal,futbol,universal-deportes
24,https://www.eluniversal.com.mx/universal-deportes/futbol-americano/nfl-jugador-de-los-bears-enloquece-y-golpea-rival,2020-11-01,Universal,futbol americano,universal-deportes
25,https://www.eluniversal.com.mx/universal-deportes/mas-deportes/checo-perez-que-hizo-racing-point-que-afecto-al-mexicano,2020-11-01,Universal,mas deportes,universal-deportes
26,https://www.eluniversal.com.mx/universal-deportes/mas-deportes/checo-racing-point-acepta-error-que-le-costo-podio-perez,2020-11-01,Universal,mas deportes,universal-deportes
27,https://www.eluniversal.com.mx/nacion/ricardo-anaya-recibe-alta-medica-tras-dar-positivo-covid-pide-seguirnos-cuidando,2020-11-01,Universal,ricardo anaya recibe alta medica tras dar positivo covid pide seguirnos cuidando,nacion
28,https://www.eluniversal.com.mx/estados/accidente-carretero-deja-6-muertos-en-asuncion-nochixtlan-oaxaca,2020-11-01,Universal,accidente carretero deja 6 muertos en asuncion nochixtlan oaxaca,estados
29,https://www.eluniversal.com.mx/universal-deportes/futbol/america-la-exigencia-aumenta-con-el-boleto-liguilla,2020-11-01,Universal,futbol,universal-deportes
30,https://www.eluniversal.com.mx/universal-deportes/futbol/ferretti-caimos-en-dependencia-de-gignac-america-gano-justamente,2020-11-01,Universal,futbol,universal-deportes
31,https://www.eluniversal.com.mx/universal-deportes/futbol/futbolistas-del-america-viven-espeluznante-momento-en-coapa,2020-11-01,Universal,futbol,universal-deportes
32,https://www.eluniversal.com.mx/metropoli/vinculan-proceso-presunto-feminicida-de-marilu-camacho-enfermera-hallada-enterrada-en-su,2020-11-01,Universal,vinculan proceso presunto feminicida de marilu camacho enfermera hallada enterrada en su,metropoli
33,https://www.eluniversal.com.mx/nacion/sader-activa-esquemas-de-financiamiento-y-creditos-para-granos-basicos,2020-11-01,Universal,sader activa esquemas de financiamiento y creditos para granos basicos,nacion
34,https://www.eluniversal.com.mx/nacion/sociedad/casos-de-covid-en-mexico-al-30-de-julio,2020-11-01,Universal,sociedad,nacion
35,https://www.eluniversal.com.mx/techbit/viral-el-gatito-que-puede-hablar-y-decir-malas-palabras-sus-duenos,2020-11-01,Universal,viral el gatito que puede hablar y decir malas palabras sus duenos,techbit
36,https://www.eluniversal.com.mx/menu/receta-cocteles-para-celebrar-dia-de-muertos,2020-11-01,Universal,receta cocteles para celebrar dia de muertos,menu
37,https://www.eluniversal.com.mx/de-ultima/mascarilla-de-zanahoria-para-rejuvenecer-la-piel-del-rostro,2020-11-01,Universal,mascarilla de zanahoria para rejuvenecer la piel del rostro,de-ultima
38,https://www.eluniversal.com.mx/de-ultima/jean-paul-gaultier-participa-en-la-ofrenda-de-frida-kahlo,2020-11-01,Universal,jean paul gaultier participa en la ofrenda de frida kahlo,de-ultima
39,https://www.eluniversal.com.mx/menu/pan-de-muerto-que-debes-de-probar-esta-temporada-2020,2020-11-01,Universal,pan de muerto que debes de probar esta temporada 2020,menu
40,https://www.eluniversal.com.mx/espectaculos/el-adios-sean-connery-y-el-pleito-de-bisogno-en-twitter,2020-11-01,Universal,el adios sean connery y el pleito de bisogno en twitter,espectaculos
